,name,manufacture,type,calories,protein,fat,sodium,fiber,carbo,sugars,potassium,vitamins,shelf,weight,cups,rating
0,100% Bran,Nabisco,Cold,70,4,1,130,10.0,5.0,6,280,25,3,1.0,0.33,68.402973
1,100% Natural Bran,Quaker,Cold,120,3,5,15,2.0,8.0,8,135,0,3,1.0,1.0,33.983679
2,All-Bran,Kelloggs,Cold,70,4,1,260,9.0,7.0,5,320,25,3,1.0,0.33,59.425505
3,All-Bran with Extra Fiber,Kelloggs,Cold,50,4,0,140,14.0,8.0,0,330,25,3,1.0,0.5,93.704912
4,Almond Delight,Ralston Purina,Cold,110,2,2,200,1.0,14.0,8,-1,25,3,1.0,0.75,34.384843
5,Apple Cinnamon Cheerios,General Mills,Cold,110,2,2,180,1.5,10.5,10,70,25,1,1.0,0.75,29.509541
6,Apple Jacks,Kelloggs,Cold,110,2,0,125,1.0,11.0,14,30,25,2,1.0,1.0,33.174094
7,Basic 4,General Mills,Cold,130,3,2,210,2.0,18.0,8,100,25,3,1.33,0.75,37.038562
8,Bran Chex,Ralston Purina,Cold,90,2,1,200,4.0,15.0,6,125,25,1,1.0,0.67,49.120253
9,Bran Flakes,Post,Cold,90,3,0,210,5.0,13.0,5,190,25,3,1.0,0.67,53.313813
10,Cap'n'Crunch,Quaker,Cold,120,1,2,220,0.0,12.0,12,35,25,2,1.0,0.75,18.042851
11,Cheerios,General Mills,Cold,110,6,2,290,2.0,17.0,1,105,25,1,1.0,1.25,50.764999
12,Cinnamon Toast Crunch,General Mills,Cold,120,1,3,210,0.0,13.0,9,45,25,2,1.0,0.75,19.823573
13,Clusters,General Mills,Cold,110,3,2,140,2.0,13.0,7,105,25,3,1.0,0.5,40.400208
14,Cocoa Puffs,General Mills,Cold,110,1,1,180,0.0,12.0,13,55,25,2,1.0,1.0,22.736446
15,Corn Chex,Ralston Purina,Cold,110,2,0,280,0.0,22.0,3,25,25,1,1.0,1.0,41.445019
16,Corn Flakes,Kelloggs,Cold,100,2,0,290,1.0,21.0,2,35,25,1,1.0,1.0,45.863324
17,Corn Pops,Kelloggs,Cold,110,1,0,90,1.0,13.0,12,20,25,2,1.0,1.0,35.782791
18,Count Chocula,General Mills,Cold,110,1,1,180,0.0,12.0,13,65,25,2,1.0,1.0,22.396513
19,Cracklin' Oat Bran,Kelloggs,Cold,110,3,3,140,4.0,10.0,7,160,25,3,1.0,0.5,40.448772
20,Cream of Wheat (Quick),Nabisco,Hot,100,3,0,80,1.0,21.0,0,-1,0,2,1.0,1.0,64.533816
21,Crispix,Kelloggs,Cold,110,2,0,220,1.0,21.0,3,30,25,3,1.0,1.0,46.895644
22,Crispy Wheat & Raisins,General Mills,Cold,100,2,1,140,2.0,11.0,10,120,25,3,1.0,0.75,36.176196
23,Double Chex,Ralston Purina,Cold,100,2,0,190,1.0,18.0,5,80,25,3,1.0,0.75,44.330856
24,Froot Loops,Kelloggs,Cold,110,2,1,125,1.0,11.0,13,30,25,2,1.0,1.0,32.207582
25,Frosted Flakes,Kelloggs,Cold,110,1,0,200,1.0,14.0,11,25,25,1,1.0,0.75,31.435973
26,Frosted Mini-Wheats,Kelloggs,Cold,100,3,0,0,3.0,14.0,7,100,25,2,1.0,0.8,58.345141
27,Fruit & Fibre Dates; Walnuts; and Oats,Post,Cold,120,3,2,160,5.0,12.0,10,200,25,3,1.25,0.67,40.917047
28,Fruitful Bran,Kelloggs,Cold,120,3,0,240,5.0,14.0,12,190,25,3,1.33,0.67,41.015492
29,Fruity Pebbles,Post,Cold,110,1,1,135,0.0,13.0,12,25,25,2,1.0,0.75,28.025765
30,Golden Crisp,Post,Cold,100,2,0,45,0.0,11.0,15,40,25,1,1.0,0.88,35.252444
31,Golden Grahams,General Mills,Cold,110,1,1,280,0.0,15.0,9,45,25,2,1.0,0.75,23.804043
32,Grape Nuts Flakes,Post,Cold,100,3,1,140,3.0,15.0,5,85,25,3,1.0,0.88,52.076897
33,Grape-Nuts,Post,Cold,110,3,0,170,3.0,17.0,3,90,25,3,1.0,0.25,53.371007
34,Great Grains Pecan,Post,Cold,120,3,3,75,3.0,13.0,4,100,25,3,1.0,0.33,45.811716
35,Honey Graham Ohs,Quaker,Cold,120,1,2,220,1.0,12.0,11,45,25,2,1.0,1.0,21.871292
36,Honey Nut Cheerios,General Mills,Cold,110,3,1,250,1.5,11.5,10,90,25,1,1.0,0.75,31.072217
37,Honey-comb,Post,Cold,110,1,0,180,0.0,14.0,11,35,25,1,1.0,1.33,28.742414
38,Just Right Crunchy  Nuggets,Kelloggs,Cold,110,2,1,170,1.0,17.0,6,60,100,3,1.0,1.0,36.523683
39,Just Right Fruit & Nut,Kelloggs,Cold,140,3,1,170,2.0,20.0,9,95,100,3,1.3,0.75,36.471512
40,Kix,General Mills,Cold,110,2,1,260,0.0,21.0,3,40,25,2,1.0,1.5,39.241114
41,Life,Quaker,Cold,100,4,2,150,2.0,12.0,6,95,25,2,1.0,0.67,45.328074
42,Lucky Charms,General Mills,Cold,110,2,1,180,0.0,12.0,12,55,25,2,1.0,1.0,26.734515
43,Maypo,American Home Food Products,Hot,100,4,1,0,0.0,16.0,3,95,25,2,1.0,1.0,54.850917
44,Muesli Raisins; Dates; & Almonds,Ralston Purina,Cold,150,4,3,95,3.0,16.0,11,170,25,3,1.0,1.0,37.136863
45,Muesli Raisins; Peaches; & Pecans,Ralston Purina,Cold,150,4,3,150,3.0,16.0,11,170,25,3,1.0,1.0,34.139765
46,Mueslix Crispy Blend,Kelloggs,Cold,160,3,2,150,3.0,17.0,13,160,25,3,1.5,0.67,30.313351
47,Multi-Grain Cheerios,General Mills,Cold,100,2,1,220,2.0,15.0,6,90,25,1,1.0,1.0,40.105965
48,Nut&Honey Crunch,Kelloggs,Cold,120,2,1,190,0.0,15.0,9,40,25,2,1.0,0.67,29.924285
49,Nutri-Grain Almond-Raisin,Kelloggs,Cold,140,3,2,220,3.0,21.0,7,130,25,3,1.33,0.67,40.69232
50,Nutri-grain Wheat,Kelloggs,Cold,90,3,0,170,3.0,18.0,2,90,25,3,1.0,1.0,59.642837
51,Oatmeal Raisin Crisp,General Mills,Cold,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843
52,Post Nat. Raisin Bran,Post,Cold,120,3,1,200,6.0,11.0,14,260,25,3,1.33,0.67,37.840594
53,Product 19,Kelloggs,Cold,100,3,0,320,1.0,20.0,3,45,100,3,1.0,1.0,41.50354
54,Puffed Rice,Quaker,Cold,50,1,0,0,0.0,13.0,0,15,0,3,0.5,1.0,60.756112
55,Puffed Wheat,Quaker,Cold,50,2,0,0,1.0,10.0,0,50,0,3,0.5,1.0,63.005645
56,Quaker Oat Squares,Quaker,Cold,100,4,1,135,2.0,14.0,6,110,25,3,1.0,0.5,49.511874
57,Quaker Oatmeal,Quaker,Hot,100,5,2,0,2.7,-1.0,-1,110,0,1,1.0,0.67,50.828392
58,Raisin Bran,Kelloggs,Cold,120,3,1,210,5.0,14.0,12,240,25,2,1.33,0.75,39.259197
59,Raisin Nut Bran,General Mills,Cold,100,3,2,140,2.5,10.5,8,140,25,3,1.0,0.5,39.7034
60,Raisin Squares,Kelloggs,Cold,90,2,0,0,2.0,15.0,6,110,25,3,1.0,0.5,55.333142
61,Rice Chex,Ralston Purina,Cold,110,1,0,240,0.0,23.0,2,30,25,1,1.0,1.13,41.998933
62,Rice Krispies,Kelloggs,Cold,110,2,0,290,0.0,22.0,3,35,25,1,1.0,1.0,40.560159
63,Shredded Wheat,Nabisco,Cold,80,2,0,0,3.0,16.0,0,95,0,1,0.83,1.0,68.235885
64,Shredded Wheat 'n'Bran,Nabisco,Cold,90,3,0,0,4.0,19.0,0,140,0,1,1.0,0.67,74.472949
65,Shredded Wheat spoon size,Nabisco,Cold,90,3,0,0,3.0,20.0,0,120,0,1,1.0,0.67,72.801787
66,Smacks,Kelloggs,Cold,110,2,1,70,1.0,9.0,15,40,25,2,1.0,0.75,31.230054
67,Special K,Kelloggs,Cold,110,6,0,230,1.0,16.0,3,55,25,1,1.0,1.0,53.131324
68,Strawberry Fruit Wheats,Nabisco,Cold,90,2,0,15,3.0,15.0,5,90,25,2,1.0,1.0,59.363993
69,Total Corn Flakes,General Mills,Cold,110,2,1,200,0.0,21.0,3,35,100,3,1.0,1.0,38.839746
70,Total Raisin Bran,General Mills,Cold,140,3,1,190,4.0,15.0,14,230,100,3,1.5,1.0,28.592785
71,Total Whole Grain,General Mills,Cold,100,3,1,200,3.0,16.0,3,110,100,3,1.0,1.0,46.658844
72,Triples,General Mills,Cold,110,2,1,250,0.0,21.0,3,60,25,3,1.0,0.75,39.106174
73,Trix,General Mills,Cold,110,1,1,140,0.0,13.0,12,25,25,2,1.0,1.0,27.753301
74,Wheat Chex,Ralston Purina,Cold,100,3,1,230,3.0,17.0,3,115,25,1,1.0,0.67,49.787445
75,Wheaties,General Mills,Cold,100,3,1,200,3.0,17.0,3,110,25,1,1.0,1.0,51.592193
76,Wheaties Honey Gold,General Mills,Cold,110,2,1,200,1.0,16.0,8,60,25,1,1.0,0.75,36.187559
